bilberry_fruits,bilberry_fungi,bilberry_herbivory,bilberry_cover,cowberry_fruits,cowberry_fungi,cowberry_herbivory,cowberry_cover,thin,N,P,treatment_name,latitude,longitude,year,exp_name
11,0,7,35,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
0,0,0,0,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
0,2,3,30,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
13,0,3,72,8,10,5,18,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
29,1,4,46,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
12,1,9,30,0,3,10,40,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2014,787HilleE4
4,10,7,78,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
0,0,0,18,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
2,0,2,15,6,2,2,37,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
3,1,2,32,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
21,0,1,31,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
46,0,3,81,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
24,0,2,91,8,8,0,14,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
0,2,1,17,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
0,0,2,7,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
5,0,4,12,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
9,1,1,85,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
14,0,3,55,0,5,2,38,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
19,0,1,47,0,1,1,13,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
12,0,12,50,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
9,0,3,89,4,5,3,11,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
41,0,2,89,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
50,0,3,82,8,6,7,51,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2015,787HilleE4
4,1,9,52,0,8,6,26,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
0,0,0,3,0,0,0,10,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
0,0,3,27,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
34,0,6,37,0,6,4,30,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
38,0,3,98,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
4,0,5,75,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
0,2,1,11,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
0,0,4,12,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
0,2,0,5,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
7,0,12,44,0,2,3,18,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
1,0,2,6,0,0,3,19,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
52,6,3,67,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
8,7,18,46,0,0,0,0,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2014,787HilleE4
146,0,3,99,0,0,0,0,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2015,787HilleE4
0,1,0,28,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
101,0,0,100,0,0,0,0,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2015,787HilleE4
11,0,2,52,0,2,0,6,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
8,2,5,37,0,5,5,37,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
21,6,9,81,3,3,2,23,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2015,787HilleE4
0,0,0,2,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
10,0,3,46,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
1,0,9,56,0,2,1,10,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
8,2,19,58,0,0,1,4,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
25,0,3,44,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
9,6,12,32,2,5,17,49,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2014,787HilleE4
14,4,11,43,6,12,9,42,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
32,1,1,29,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
24,0,1,93,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
4,5,19,83,0,1,1,6,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2014,787HilleE4
85,0,8,94,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
0,0,0,0,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
12,4,10,55,0,0,1,4,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2014,787HilleE4
0,0,2,16,6,9,0,41,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
11,0,10,85,0,1,5,11,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
9,0,5,35,4,3,7,35,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
0,4,1,51,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
1,1,1,49,0,0,4,6,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2015,787HilleE4
7,0,0,46,0,5,1,21,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
0,0,5,78,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
4,8,6,54,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
20,1,22,46,0,6,4,24,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
28,2,0,73,0,3,4,26,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
59,7,4,91,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
3,0,1,73,0,3,2,12,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
32,0,1,35,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
8,7,18,80,0,0,1,2,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2014,787HilleE4
36,0,6,87,0,0,0,0,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2015,787HilleE4
18,1,1,79,0,3,0,6,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
13,0,4,52,0,2,3,19,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
0,1,2,3,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
16,2,14,67,0,8,7,34,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
3,2,4,53,0,0,1,9,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
4,4,14,53,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
18,3,8,47,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
0,0,0,16,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
41,0,7,97,0,0,1,2,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
16,6,4,92,0,0,0,1,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
0,0,0,0,0,0,0,0,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2014,787HilleE4
0,0,3,8,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
0,2,1,11,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
0,0,0,0,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
16,35,9,81,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
5,5,9,48,0,1,3,9,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2014,787HilleE4
45,34,4,72,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
0,0,0,0,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
22,21,1,56,0,6,3,20,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
59,6,4,96,0,0,0,0,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2015,787HilleE4
9,18,6,64,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
63,2,5,87,0,1,0,3,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2015,787HilleE4
0,0,0,0,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
43,3,4,55,0,1,2,22,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2015,787HilleE4
0,0,0,0,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
0,0,3,12,0,0,0,2,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2014,787HilleE4
